# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	23429
#@/user_id	dc32b531-effb-4e33-b228-85587d1b6c4a
a 	啊	c=99 d=0.100281 t=23361
cai liao 	材料	c=1 d=1 t=19291
cai neng 	才能	c=5 d=1 t=17152
cai neng mai 	才能买	c=1 d=1 t=19548
cai niao 	菜鸟	c=1 d=1 t=22678
cai shi 	才是	c=6 d=1.00015 t=11959
cai shi zhen de hao 	才是真的好	c=1 d=1 t=20220
cai shui 	才睡	c=1 d=1 t=23182
cai xing 	才行	c=1 d=1 t=1609
cai yang 	采样	c=1 d=1 t=20193
cai yong 	采用	c=10 d=1.00001 t=22775
cai you 	才有	c=1 d=1 t=12663
cai zhao dao 	才找到	c=1 d=1 t=954
cai zhi dao 	才知道	c=1 d=1 t=20977
can kao 	参考	c=4 d=1.01906 t=22535
can shu 	参数	c=17 d=2.06561 t=22353
can yu 	参与	c=0 d=0.1 t=4357
can yu ke hu duan 	参与客户端	c=1 d=1 t=4358
can yu zhe 	参与者	c=1 d=1 t=4019
cang 	藏	c=1 d=1 t=10139
cang ku 	仓库	c=8 d=0.154164 t=22909
cao 	草	c=3 d=1 t=9379
cao dian 	槽点	c=1 d=1 t=10730
cao zuo 	操作	c=35 d=1.51569 t=21085
cao zuo fu 	操作符	c=1 d=1 t=22174
cao zuo shu 	操作数	c=1 d=1 t=6398
cao zuo xi tong 	操作系统	c=6 d=1.21939 t=16590
cao zuo yi xia 	操作一下	c=1 d=1 t=5013
cao zuo zhe 	操作者	c=1 d=1 t=14571
ce 	侧	c=1 d=0.1 t=14845
ce 	测	c=5 d=1.97045 t=21571
ce le 	测了	c=1 d=1 t=23062
ce liang 	测量	c=1 d=1 t=17109
ce liang fang shi 	测量方式	c=1 d=1 t=17124
ce lve 	策略	c=16 d=1.0261 t=21592
ce shi 	测试	c=43 d=1.00015 t=23405
ce shi gu 	侧事故	c=1 d=1 t=6908
ce shi yo 	测试哟	c=1 d=1 t=13529
ce shi yong li 	测试用例	c=0 d=0.1 t=13529
ce shi yong li zhong 	测试用例中	c=1 d=1 t=13530
ce su 	测速	c=2 d=2.08511 t=784
ce suo 	厕所	c=0 d=0.1 t=6579
ceng 	蹭	c=1 d=1 t=12068
ceng ci 	层次	c=1 d=1 t=20490
ceng mian 	层面	c=1 d=1 t=8121
ceng min 	曾民	c=1 d=1 t=8120
cha 	差	c=2 d=1 t=18032
cha 	查	c=3 d=1 t=18822
cha 	茶	c=1 d=1 t=5099
cha bu duo 	差不多	c=2 d=1 t=13968
cha bu duo le 	差不多了	c=1 d=1 t=9231
cha cao 	插槽	c=2 d=1.98511 t=15433
cha cha 	查查	c=1 d=1 t=7284
cha dao 	查到	c=2 d=1 t=19635
cha dian 	差点	c=2 d=1 t=14006
cha dian 	插电	c=1 d=1 t=1953
cha dian yuan 	插电源	c=1 d=1 t=7678
cha hen duo a 	差很多啊	c=1 d=1 t=4294
cha jian 	插件	c=19 d=1 t=22909
cha kan 	查看	c=28 d=3.56457 t=22558
cha kan neng 	查看能	c=2 d=1 t=22491
cha kan qi 	查看器	c=1 d=1 t=13144
cha shan 	茶山	c=0 d=0.1 t=5172
cha shang 	插上	c=1 d=1 t=11746
cha xun 	查询	c=5 d=1 t=23257
cha yi 	差异	c=1 d=1 t=17489
cha zhao 	查找	c=2 d=1 t=13353
cha zhe 	插着	c=0 d=0.1 t=1903
cha zhe dian 	差这点	c=1 d=1 t=1903
cha zhe dian 	插着电	c=1 d=1 t=1904
chai bu liao 	拆不了	c=1 d=1 t=6555
chai huo lu 	柴火炉	c=1 d=1 t=13080
chan pin 	产品	c=2 d=1 t=12070
chan sheng 	产生	c=4 d=1 t=18308
chan sheng de 	产生的	c=1 d=1 t=15469
chan sheng le 	产生了	c=1 d=1 t=20474
chang 	长	c=2 d=1.95125 t=10150
chang da 	长达	c=1 d=1 t=2207
chang du 	长度	c=3 d=2.19949 t=13824
chang jing 	场景	c=1 d=1 t=2434
chang jing zhong 	场景中	c=1 d=1 t=14560
chang kuang 	猖狂	c=1 d=1 t=18846
chang ri 	长日	c=2 d=1.96561 t=10143
chang shi 	尝试	c=2 d=1 t=23098
chang shi le 	尝试了	c=1 d=1 t=14842
chang xiang 	畅享	c=1 d=1 t=18828
chao cai 	炒菜	c=1 d=1 t=17982
chao chu 	超出	c=2 d=1.04159 t=16687
chao da 	超大	c=1 d=1 t=7657
chao de 	吵得	c=1 d=1 t=20696
chao de 	炒得	c=1 d=1 t=20694
chao gao 	超高	c=1 d=1 t=18471
chao guo 	超过	c=2 d=1 t=16891
chao ji 	超级	c=1 d=1 t=8431
chao ji chao ji 	超级超级	c=1 d=1 t=8730
chao shi 	超市	c=1 d=1 t=14765
chao shi de 	潮湿的	c=0 d=0.1 t=14763
chao suan 	超算	c=2 d=1.96561 t=18717
chao yue 	超越	c=1 d=1 t=19203
che 	车	c=2 d=1 t=19830
che dan 	扯淡	c=3 d=1 t=11373
che di 	彻底	c=4 d=1.9773 t=10856
che du zi 	扯犊子	c=0 d=0.1 t=2551
che zi 	车子	c=4 d=3.58462 t=11740
chen 	沉	c=1 d=1 t=869
chen 	陈	c=1 d=1 t=870
chen jin 	沉浸	c=1 d=1 t=18310
chen yuan 	陈源	c=3 d=1 t=18346
chen zhe 	趁着	c=1 d=1 t=3288
cheng 	城	c=4 d=1 t=20903
cheng 	成	c=1 d=1 t=21153
cheng ben 	成本	c=2 d=1.54607 t=16785
cheng du 	成都	c=1 d=1 t=4800
cheng du 	程度	c=1 d=1 t=4801
cheng gong 	成功	c=6 d=1.06361 t=22370
cheng le 	成了	c=0 d=0.1 t=23001
cheng shi 	城市	c=1 d=1 t=23327
cheng wei 	成为	c=1 d=1 t=219
cheng wei 	称为	c=2 d=1 t=20771
cheng wei yuan 	成为院	c=1 d=1 t=11933
cheng xiao 	成效	c=1 d=1 t=18268
cheng xu 	程序	c=27 d=1.00281 t=22109
cheng xu yuan 	程序员	c=2 d=1 t=20273
chi 	吃	c=8 d=0.973725 t=21901
chi ba ba 	吃粑粑	c=1 d=1 t=8514
chi bo 	吃播	c=2 d=1.96079 t=5316
chi bu liao 	吃不了	c=1 d=1 t=4523
chi cun 	尺寸	c=1 d=1 t=6251
chi de 	吃的	c=0 d=0.1 t=2691
chi fan 	吃饭	c=2 d=1 t=18860
chi fan de 	吃饭的	c=1 d=1 t=20409
chi fan ma 	吃饭吗	c=4 d=1 t=22373
chi fan qu 	吃饭去	c=1 d=1 t=18930
chi fan qu ma 	吃饭去吗	c=2 d=1 t=9925
chi gua 	吃瓜	c=1 d=1 t=10971
chi guo 	吃过	c=1 d=1 t=14621
chi jiu hua 	持久化	c=2 d=1.99501 t=4044
chi le 	吃了	c=3 d=1.07808 t=18863
chi ni 	吃腻	c=1 d=1 t=7707
chi shen me 	吃什么	c=2 d=1 t=8512
chi shi 	吃屎	c=1 d=1 t=3451
chi wa 	吃蛙	c=2 d=1.99005 t=6011
chi wan fan 	吃完饭	c=1 d=1 t=9427
chi xu 	持续	c=2 d=1.03271 t=15971
chi you 	持有	c=1 d=1 t=22053
chi zao 	迟早	c=1 d=1 t=9004
chong 	冲	c=0 d=0.1 t=1987
chong bu jin 	充不进	c=0 d=0.1 t=12341
chong bu jin qu 	充不进去	c=1 d=1 t=12342
chong de 	充的	c=1 d=1 t=20411
chong dian 	充电	c=5 d=1 t=20402
chong dian an ma 	冲点按吗	c=1 d=1 t=1988
chong dian ma 	充电吗	c=2 d=1.97531 t=1989
chong dian tou 	充电头	c=2 d=1.93239 t=20419
chong dian xian 	充电线	c=1 d=1 t=1993
chong ding xiang 	重定向	c=1 d=1 t=10438
chong fu 	重复	c=1 d=1.07531 t=8049
chong fu gu 	重复股	c=1 d=1 t=8050
chong jian 	重建	c=1 d=1 t=3337
chong le 	充了	c=1 d=1 t=12344
chong ming ming 	重命名	c=1 d=1 t=15837
chong qi 	重启	c=5 d=1.00011 t=6573
chong qing 	重庆	c=0 d=0.1 t=7695
chong qing lang dui 	重庆狼队	c=1 d=1 t=7696
chong tu 	冲突	c=8 d=3.68121 t=14107
chong xin 	重新	c=8 d=1 t=19887
chong xin qi dong 	重新启动	c=2 d=1 t=22685
chong xin qi dong qian 	重新启动前	c=1 d=1 t=2218
chong xin zu zhi 	重新组织	c=1 d=1 t=21238
chong ya 	冲牙	c=1 d=1 t=8700
chong ya qi 	冲牙器	c=1 d=1 t=8701
chong yong 	重用	c=2 d=1 t=16106
chong zai 	重载	c=2 d=1 t=22173
chong zhi 	重置	c=1 d=1 t=14212
chong zhuang 	重装	c=0 d=0.1 t=1446
chong zi 	虫子	c=2 d=1.92774 t=6557
chou bu chou 	臭不臭	c=1 d=1 t=9297
chou de 	丑的	c=0 d=0.1 t=2668
chou de bu de liao 	丑的不得了	c=1 d=1 t=2669
chou hen 	仇恨	c=2 d=1.97531 t=11631
chou xiang 	抽象	c=5 d=2.14008 t=20604
chou xiang chu lai 	抽象出来	c=0 d=0.1 t=11424
chou xiang chu lai de 	抽象出来的	c=1 d=1 t=11425
chou xiang de 	抽象的	c=1 d=1 t=12938
chu 	出	c=10 d=1.0001 t=22828
chu 	处	c=1 d=1 t=12870
chu a 	出啊	c=0 d=0.1 t=5591
chu a di 	出啊第	c=1 d=1 t=5592
chu bu lai 	出不来	c=0 d=0.1 t=6555
chu ci zhi wai 	除此之外	c=1 d=1 t=3685
chu fa 	出发	c=3 d=1 t=16588
chu fa 	触发	c=2 d=1 t=9147
chu fa 	除法	c=1 d=1 t=11174
chu guo le 	出国了	c=1 d=1 t=20944
chu han 	出汗	c=1 d=1 t=9837
chu kong ban 	触控板	c=9 d=2.93635 t=20973
chu kou 	出口	c=1 d=1 t=6402
chu lai 	出来	c=5 d=0.315082 t=22845
chu lai de 	出来的	c=1 d=1.00006 t=19297
chu lai e 	出来饿	c=1 d=1 t=22846
chu le 	出了	c=1 d=1 t=1895
chu le 	除了	c=10 d=1 t=15828
chu li 	处理	c=30 d=1.00001 t=22724
chu li dan yuan 	处理单元	c=1 d=1 t=16397
chu li qi 	处理器	c=3 d=1.40454 t=15455
chu mei 	触媒	c=0 d=0.1 t=6290
chu mei a ni 	触媒啊你	c=1 d=1 t=6291
chu mo ban 	触摸板	c=3 d=2.86951 t=5419
chu qu 	出去	c=0 d=0.1 t=22419
chu qu de 	出去的	c=1 d=1 t=22420
chu sheng 	出生	c=0 d=0.1 t=7224
chu shi hua 	初始化	c=4 d=2.78275 t=20123
chu shui kou 	出水口	c=1 d=1 t=18974
chu xian 	出现	c=10 d=1 t=21661
chu xian le 	出现了	c=1 d=1 t=15038
chu yu 	出于	c=1 d=1 t=390
chu yu 	处于	c=6 d=1.99005 t=16412
chu zai 	处在	c=1 d=1 t=18239
chu zhong 	初中	c=1 d=1 t=1161
chu zhong 	初衷	c=1 d=1 t=23010
chu zhuang 	出装	c=1 d=1 t=6282
chuan 	传	c=0 d=0.1 t=6387
chuan bu guo 	喘不过	c=1 d=1 t=3518
chuan dao 	传到	c=1 d=1 t=4009
chuan di 	传递	c=3 d=1 t=20567
chuan gai nian 	传概念	c=1 d=1 t=6388
chuan kou 	串口	c=1 d=1 t=11718
chuan qiu 	传球	c=1 d=0.906541 t=10251
chuan ru 	传入	c=2 d=1.00185 t=22664
chuan ru 	穿入	c=2 d=1.99005 t=21400
chuan shang qu 	传上去	c=1 d=1 t=2021
chuan shu 	传输	c=3 d=2.44343 t=8163
chuan shu ceng 	传输层	c=1 d=1 t=5620
chuan song 	传送	c=1 d=1 t=8318
chuan tong 	传统	c=1 d=1 t=20448
chuan tong shang 	传统上	c=2 d=1.00423 t=16696
chuan tong yi neng 	传统艺能	c=1 d=1 t=5716
chuan tou 	穿透	c=1 d=1 t=4662
chuang 	床	c=2 d=1 t=16950
chuang dan 	床单	c=2 d=1.9802 t=11830
chuang jia 	床架	c=2 d=1 t=21464
chuang jian 	创建	c=19 d=2.12894 t=22232
chuang kou 	窗口	c=12 d=1.00001 t=23378
chuang ou 	床欧	c=1 d=1 t=23377
chuang shang 	床上	c=4 d=3.64454 t=10505
chuang shi ren 	创始人	c=1 d=1 t=11152
chuang tou 	床头	c=1 d=1 t=10459
chui 	吹	c=0 d=0.1 t=9855
chui le 	吹了	c=1 d=1 t=9830
chun 	纯	c=2 d=0.1 t=21020
chun 	蠢	c=1 d=1 t=21023
chun chun 	纯纯	c=1 d=1 t=7112
chun dao le 	纯到了	c=1 d=1 t=21021
chun hei 	纯黑	c=1 d=1 t=10417
chun ji 	春季	c=1 d=1 t=656
ci 	刺	c=2 d=1 t=16844
ci 	次	c=6 d=1 t=22550
ci 	此	c=1 d=1 t=1272
ci ji 	刺激	c=2 d=1 t=23122
ci ji ci ji 	刺激刺激	c=1 d=1 t=23221
ci le 	辞了	c=0 d=0.1 t=1629
ci pan 	磁盘	c=5 d=1.97045 t=20463
ci pan shang 	磁盘上	c=1 d=1 t=15610
ci shi 	此时	c=11 d=1.01878 t=16049
ci shu 	次数	c=12 d=1 t=15167
ci wei yue dui 	刺猬乐队	c=1 d=1 t=18979
ci zhong qing kuang 	此种情况	c=1 d=1.02774 t=1161
ci zhong qing kuang xia 	此种情况下	c=1 d=1 t=1162
cong 	从	c=29 d=1.061 t=22729
cong er 	从而	c=1 d=1 t=20369
cong hua xiang cai 	葱花香菜	c=1 d=1 t=2713
cong lai 	从来	c=3 d=1.64082 t=10047
cong na li 	从哪里	c=1 d=1 t=8753
cong xian zai kai shi 	从现在开始	c=1 d=1 t=11932
cou he 	凑合	c=2 d=1.09802 t=13422
cou he neng yong 	凑合能用	c=1 d=1 t=13419
cu 	粗	c=0 d=0.1 t=1002
cui nen 	脆嫩	c=0 d=0.1 t=14515
cun 	存	c=1 d=1 t=22851
cun 	村	c=1 d=1 t=22850
cun chu 	存储	c=17 d=1.55141 t=22113
cun chu qi 	存储器	c=1 d=1 t=20575
cun chu zai 	存储在	c=1 d=1 t=20875
cun chu zhong 	存储中	c=1 d=1 t=21341
cun fang 	存放	c=1 d=1 t=6432
cun fang zai 	存放在	c=1 d=1 t=21338
cun le 	存了	c=1 d=1 t=9098
cun ru 	存入	c=1 d=1 t=8859
cun zai 	存在	c=8 d=1.97531 t=22035
cun zai de 	存在的	c=1 d=1 t=22496
cuo 	错	c=6 d=1 t=21665
cuo bie zi 	错别字	c=1 d=1 t=9362
cuo ma 	错吗	c=0 d=0.1 t=1565
cuo wu 	错误	c=12 d=1 t=22766
da 	大	c=8 d=1.00059 t=13031
da 	打	c=8 d=1.01519 t=20426
da an 	答案	c=1 d=1.35406 t=10304
da an shi 	答案是	c=1 d=1 t=11361
da bao 	打包	c=1 d=1 t=22372
da bie shu 	大别墅	c=1 d=1 t=13303
da bu kai 	打不开	c=0 d=0.1 t=6652
da bu liao 	大不了	c=1 d=1 t=6000
da cao gao 	打草稿	c=1 d=1 t=14203
da cha bu cha 	大差不差	c=1 d=1 t=9783
da dao 	达到	c=2 d=1.00419 t=16732
da de 	打得	c=1 d=1 t=16919
da dian hua 	打电话	c=1 d=1 t=15334
da duan 	大段	c=3 d=2.75884 t=21005
da duo shu 	大多数	c=1 d=1 t=9029
da er 	大二	c=1 d=1 t=11253
da fa 	大法	c=1 d=1 t=7556
da fa 	打发	c=1 d=1 t=3497
da fei zhu 	大肥猪	c=1 d=1 t=10795
da fen e 	大份额	c=0 d=0.1 t=20424
da fu 	答复	c=1 d=1 t=12182
da gai 	大概	c=13 d=1 t=23211
da gai shi 	大概是	c=2 d=1 t=19242
da gang 	大纲	c=2 d=1.99501 t=20244
da jia hao 	大家好	c=2 d=1 t=20219
da jing xiao guai 	大惊小怪	c=1 d=1 t=13248
da kai 	打开	c=29 d=1.00554 t=22266
da kai de 	打开的	c=1 d=1 t=21030
da kai le 	打开了	c=1 d=1 t=10256
da le 	打了	c=4 d=1.32628 t=18250
da li 	搭理	c=2 d=1.99501 t=21787
da li kou sha 	大力扣杀	c=0 d=0.1 t=12779
da lian 	大连	c=0 d=0.1 t=14693
da lian xiao wang 	大连小王	c=3 d=2.95566 t=14701
da liang 	大量	c=3 d=1 t=22808
da liang de 	大量的	c=1 d=1 t=22827
da liang qing qiu 	大量请求	c=1 d=1 t=2003
da ma 	打码	c=1 d=1 t=22811
da mai 	大麦	c=3 d=2.9458 t=21899
da nao 	大脑	c=1 d=1 t=21725
da pian 	大片	c=1 d=1 t=6830
da po 	打破	c=1 d=1 t=20011
da qiu 	打球	c=1 d=1 t=16951
da rao le 	打扰了	c=1 d=1 t=2512
da sha bi 	大傻逼	c=0 d=0.1 t=2990
da sha qi 	大杀器	c=1 d=1 t=608
da sheng de 	大声的	c=1 d=1 t=4745
da shi 	大师	c=2 d=1 t=13971
da si 	大四	c=1 d=1 t=11861
da suan 	大蒜	c=2 d=1.98511 t=6996
da suan 	打算	c=8 d=1.01822 t=23024
da tui 	大腿	c=1 d=1 t=10469
da wang zhe 	打王者	c=1 d=1 t=13133
da xiang xi di er zuo 	大象席地而坐	c=1 d=1 t=11710
da xiao 	大小	c=13 d=1.00009 t=21109
da xiao xie 	大小写	c=1 d=1 t=12974
da xue 	大学	c=1 d=1 t=6523
da yi ge 	打一个	c=1 d=1.09501 t=7512
da yin 	打印	c=3 d=1.00001 t=22401
da yun cun 	大运村	c=1 d=1 t=7715
da zhi 	大致	c=1 d=1 t=15873
da zhuan zhe 	大转折	c=1 d=1 t=7088
da zi 	打字	c=1 d=1 t=5034
dai 	带	c=2 d=2.03869 t=11311
dai an mo 	带按摩	c=1 d=1.00032 t=19745
dai can shu 	带参数	c=1 d=1 t=22712
dai dian chi de 	带点吃的	c=1 d=1 t=1680
dai dong le 	带动了	c=1 d=1 t=10024
dai ge shi 	带格式	c=1 d=1 t=11274
dai ji 	待机	c=1 d=1 t=7728
dai jia 	代价	c=1 d=1 t=16778
dai kuan 	带宽	c=5 d=1.00001 t=18020
dai lai 	带来	c=1 d=1 t=13681
dai lai de 	带来的	c=2 d=1.00004 t=15881
dai lai le 	带来了	c=1 d=1 t=14563
dai li 	代理	c=8 d=3.69183 t=21795
dai ma 	代码	c=38 d=1.3864 t=22856
dai ma fen xi 	代码分析	c=2 d=1.94176 t=4379
dai ma ti shi 	代码提示	c=1 d=1 t=7129
dai ma zhi xing 	代码执行	c=1 d=1 t=686
dai ma zhong 	代码中	c=1 d=1 t=12821
dai ti 	代替	c=1 d=1 t=3336
dai yi dian 	带一点	c=1 d=1 t=2699
dan 	但	c=5 d=1.00589 t=19330
dan 	单	c=3 d=1.00003 t=19329
dan bu duo 	但不多	c=1 d=1 t=18269
dan chun 	单纯	c=1 d=1 t=22388
dan du 	单独	c=2 d=2.05838 t=6646
dan du de 	单独的	c=2 d=1 t=19663
dan du yong 	单独用	c=1 d=1 t=6632
dan ge 	单个	c=3 d=1.0074 t=21106
dan shi 	但是	c=85 d=2.81091 t=23290
dan shi wo 	但是我	c=1 d=1 t=1504
dan si 	单丝	c=1 d=1 t=211
dan wei 	单位	c=2 d=1.95123 t=9050
dan yi 	单一	c=2 d=1 t=19953
dang 	当	c=32 d=1.6775 t=22051
dang ci ke 	当刺客	c=0 d=0.1 t=13981
dang ge 	当个	c=1 d=1 t=22592
dang jin 	当今	c=1 d=1 t=15622
dang qian 	当前	c=25 d=1.24837 t=22984
dang qian xian cheng 	当前县城	c=1 d=1 t=6319
dang ran 	当然	c=0 d=0.1 t=22990
dang ran si 	当然死	c=1 d=1 t=22991
dang shi 	当时	c=2 d=1 t=12098
dang shui he 	当水喝	c=1 d=1 t=14794
dang tian 	当天	c=3 d=1.85214 t=23120
dang xi ju 	当喜剧	c=1 d=1 t=7092
dang xia 	当下	c=1 d=1 t=22983
dang zhou 	当周	c=2 d=1.99005 t=678
dao 	刀	c=3 d=1.97045 t=18733
dao 	到	c=70 d=1.6508 t=23267
dao 	道	c=1 d=1 t=11457
dao ban you xi 	盗版游戏	c=0 d=0.1 t=10250
dao ban you xi le 	盗版游戏了	c=1 d=1 t=10251
dao bie 	道别	c=0 d=0.1 t=21658
dao chu 	到处	c=4 d=1 t=12189
dao chu 	导出	c=7 d=1 t=16297
dao chu lai 	导出来	c=1 d=1 t=19884
dao chu luan pao 	到处乱跑	c=1 d=1 t=2436
dao chu wei 	导出为	c=1 d=1 t=16244
dao da 	到达	c=8 d=1 t=20066
dao di 	到底	c=2 d=1 t=22972
dao di shi 	到底是	c=2 d=1 t=18566
dao du 	导读	c=0 d=0.1 t=14520
dao du qi 	导读期	c=1 d=1 t=14521
dao hang 	导航	c=1 d=1 t=2253
dao huo 	到货	c=1 d=1 t=20497
dao ji shi 	倒计时	c=2 d=1.9802 t=22599
dao le 	到了	c=3 d=1.09802 t=21024
dao mu qian wei zhi 	到目前为止	c=1 d=1 t=1635
dao ni 	到你	c=0 d=0.1 t=4317
dao ni zhe 	到你这	c=1 d=1 t=13912
dao qi 	到期	c=1 d=1 t=3380
dao ru 	导入	c=4 d=1 t=19889
dao ru dao 	导入到	c=1 d=1 t=14259
dao shi hou 	到时候	c=1 d=1.0018 t=12254
dao tou lai 	到头来	c=1 d=1 t=11636
dao wei 	到位	c=1 d=1 t=12554
dao xia 	倒下	c=0 d=0.1 t=22778
dao xian zai 	到现在	c=0 d=0.1 t=2405
dao zhi 	导致	c=3 d=1 t=20698
dao zhi de 	导致的	c=1 d=1 t=15632
dao zhi le 	导致了	c=1 d=1 t=20605
dao zhi wo 	导致我	c=1 d=1 t=1185
de 	的	c=1165 d=11.5757 t=23422
de a 	的啊	c=0 d=0.1 t=2289
de bi li 	的比例	c=1 d=1 t=17492
de bu lao nei 	德布劳内	c=8 d=1.97531 t=13119
de dao 	得到	c=3 d=1.72979 t=17100
de dou xing 	的都行	c=1 d=1 t=2717
de gu shi 	的故事	c=0 d=0.1 t=14726
de guan xi 	的关系	c=1 d=1 t=19492
de guo 	得过	c=1 d=1 t=6304
de hua 	德华	c=2 d=1 t=19558
de shi 	的是	c=1 d=1 t=9754
de shi dai 	的时代	c=0 d=0.1 t=22777
de wa 	的哇	c=0 d=0.1 t=16737
de yu 	德语	c=1 d=1 t=739
dei 	得	c=5 d=1.05907 t=20399
den lu 	扽路	c=1 d=1 t=369
deng 	等	c=12 d=1.70835 t=22866
deng chang 	登场	c=1 d=1 t=13598
deng chang 	等长	c=1 d=1 t=13599
deng dai 	等待	c=8 d=1.11626 t=20925
deng dai zhong 	等待中	c=1 d=1 t=12466
deng dao 	等到	c=0 d=0.1 t=18339
deng dao de le ma 	等到的了吗	c=1 d=1 t=18340
deng dao ni 	等到你	c=1 d=1 t=20951
deng ji 	等级	c=0 d=0.1 t=693
deng lu 	登录	c=17 d=1.00031 t=23296
deng ni 	等你	c=0 d=0.1 t=13836
deng ni zou 	等你走	c=1 d=1 t=13837
deng xia 	等下	c=3 d=1.09926 t=9845
deng yu 	等于	c=1 d=1 t=13822
deng zi 	凳子	c=1 d=1.09704 t=14130
di 	低	c=2 d=1.00024 t=8239
di 	地	c=1 d=1 t=9021
di 	第	c=2 d=1 t=10716
di ban ben 	低版本	c=1 d=1 t=840
di ceng 	底层	c=1 d=0.103263 t=20341
di ceng fang fa 	底层方法	c=1 d=1 t=20342
di da 	抵达	c=1 d=1 t=23048
di da 	滴答	c=1 d=1 t=23049
di da qing dan 	滴答清单	c=4 d=1 t=23044
di dian 	地点	c=2 d=1.99501 t=670
di er 	第二	c=2 d=1 t=8527
di er ci 	第二次	c=3 d=2.90752 t=8538
di er ge 	第二个	c=2 d=1.11418 t=1711
di fang 	地方	c=10 d=1.82845 t=23022
di liu ti 	第六题	c=2 d=1.77105 t=10300
di luo 	低落	c=1 d=1 t=18052
di luo 	滴落	c=1 d=1 t=18051
di mian 	地面	c=0 d=0.1 t=10251
di mian chuan qiu 	地面传球	c=1 d=1 t=10252
di na yan 	低钠盐	c=1 d=1 t=3272
di san 	第三	c=0 d=0.1 t=22081
di san ci 	第三次	c=2 d=1.09301 t=15410
di san fang 	第三方	c=1 d=1 t=8366
di san fang wei bo 	第三方位波	c=1 d=1 t=22082
di san ge 	第三个	c=2 d=1.00224 t=2969
di san lun 	第三轮	c=1 d=1 t=951
di san ti 	第三题	c=1 d=1 t=10236
di shang 	地上	c=1 d=1 t=7726
di she 	低射	c=2 d=1.97531 t=10380
di si ji 	第四集	c=1 d=1 t=18984
di wu 	第五	c=1 d=1 t=5723
di xia 	底下	c=4 d=1 t=19096
di xiao 	低效	c=1 d=1 t=20608
di yan chi 	低延迟	c=1 d=1 t=15781
di yi 	第一	c=2 d=1 t=19435
di yi ceng 	第一层	c=1 d=1 t=8427
di yi ci 	第一次	c=10 d=1.00032 t=23097
di yi ge 	第一个	c=6 d=1.00001 t=13165
di yi ji 	第一季	c=1 d=1 t=18983
di yi ji 	第一集	c=2 d=1.44043 t=10732
di yi ping 	第一屏	c=1 d=1 t=7566
di ying 	敌营	c=1 d=1 t=20036
di yu 	低于	c=1 d=1 t=10523
di zhi 	地址	c=18 d=2.02222 t=22079
dia 	嗲	c=0 d=0.1 t=2696
dia da 	嗲打	c=1 d=1 t=3282
dia yi dian 	嗲一点	c=1 d=1 t=2697
dian 	点	c=11 d=1.91393 t=23181
dian 	电	c=2 d=1.01105 t=12756
dian an 	点按	c=2 d=1.97531 t=21003
dian chi 	电池	c=10 d=1.00795 t=22099
dian fan guo 	电饭锅	c=1 d=1 t=9393
dian feng 	巅峰	c=1 d=1 t=9932
dian feng sai 	巅峰赛	c=2 d=1.98511 t=6239
dian ge wai mai 	点个外卖	c=1 d=1 t=8508
dian hua 	电话	c=1 d=1 t=8438
dian ji 	奠基	c=1 d=1 t=13306
dian ji 	惦记	c=1 d=1 t=13312
dian ji 	点击	c=4 d=1.96091 t=12863
dian jin 	点进	c=1 d=1 t=11061
dian jin lai 	点进来	c=2 d=1 t=10969
dian kai 	点开	c=1 d=1 t=10820
dian liang 	电量	c=2 d=1 t=12346
dian liao 	电疗	c=2 d=1.99501 t=7886
dian nao 	电脑	c=6 d=1.0004 t=7844
dian shi ju 	电视剧	c=5 d=1 t=14705
dian wai mai 	点外卖	c=0 d=0.1 t=7796
dian wai mai ma 	点外卖吗	c=1 d=1 t=7797
dian ying 	电影	c=16 d=1.70756 t=14799
dian yuan 	电源	c=7 d=1 t=18978
dian zi shu 	电子书	c=1 d=1 t=9540
diao 	掉	c=4 d=1.02652 t=13285
diao da 	吊打	c=1 d=1 t=3746
diao dian 	掉电	c=8 d=3.88254 t=13287
diao du 	调度	c=9 d=1.83145 t=20096
diao du ce lve 	调度策略	c=0 d=0.1 t=17118
diao du qi 	调度器	c=15 d=1.00076 t=20079
diao du zhong xin 	调度中心	c=1 d=1 t=20062
diao mao 	屌毛	c=1 d=1 t=18924
diao yan 	调研	c=5 d=1 t=10033
diao yong 	调用	c=23 d=2.38757 t=22695
die dai 	迭代	c=2 d=1.96561 t=1040
ding 	丁	c=1 d=1 t=13117
ding 	定	c=1 d=1 t=7462
ding 	顶	c=6 d=5.14216 t=11353
ding bu 	顶部	c=2 d=1.0299 t=876
ding dian 	顶点	c=1 d=1 t=17723
ding ding 	丁丁	c=1 d=1 t=6211
ding gai 	顶盖	c=1 d=1 t=7669
ding gong 	顶公	c=1 d=1 t=14713
ding ji 	定级	c=1 d=1 t=6502
ding lv 	定律	c=1 d=1 t=5979
ding shang lai 	钉上来	c=0 d=0.1 t=13960
ding shang lai le 	钉上来了	c=1 d=1 t=13961
ding shi 	定时	c=4 d=1.98514 t=14222
ding wei 	定位	c=1 d=1 t=9905
ding yi 	定义	c=8 d=1.0237 t=20114
ding yi wei 	定义为	c=1 d=1 t=17744
ding yue 	订阅	c=2 d=1.26185 t=3458
ding zhi 	定制	c=1 d=1 t=5644
ding zhi hua 	定制化	c=0 d=0.1 t=12052
